,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Saint-Philippe,73.98,78,100,12.75,-21.36,55.77
1,Hambantota,80.76,80,0,14.7,6.12,81.12
2,Kaitangata,52.0,89,90,22.93,-46.28,169.85
3,Saskylakh,20.1,96,100,5.41,71.92,114.08
4,Arraial do Cabo,87.73,66,0,20.8,-22.97,-42.03
5,Henties Bay,62.01,92,0,1.01,-22.12,14.28
6,Ribeira Grande,64.4,72,20,8.05,38.52,-28.7
7,Mnogovershinnyy,-7.44,85,0,2.24,53.94,139.92
8,Butaritari,83.64,81,0,17.92,3.07,172.79
9,Busselton,62.67,73,42,9.8,-33.65,115.33
10,Punta Arenas,62.6,63,40,32.21,-53.15,-70.92
11,Ambulu,80.04,84,10,7.67,-8.35,113.61
12,Baykit,26.76,90,99,7.29,61.67,96.37
13,Yellowknife,24.89,73,20,17.22,62.46,-114.35
14,Rikitea,77.88,81,76,12.77,-23.12,-134.97
15,Klaksvík,32.0,77,95,3.36,62.23,-6.59
16,Qaanaaq,-12.3,64,100,2.39,77.48,-69.36
17,Mataura,54.0,91,68,11.01,-46.19,168.86
18,Los Llanos de Aridane,64.51,60,40,20.8,28.66,-17.92
19,Lagoa,58.62,70,0,3.98,39.05,-27.98
20,Hermanus,63.88,77,26,7.0,-34.42,19.23
21,Albany,41.81,24,1,6.82,42.6,-73.97
22,Atuona,81.84,67,17,9.04,-9.8,-139.03
23,Tekeli,31.44,27,0,9.91,44.83,78.82
24,Yingkou,28.38,33,0,9.69,40.66,122.23
25,Cape Town,64.36,68,20,29.97,-33.93,18.42
26,Tuktoyaktuk,-2.2,77,90,21.92,69.45,-133.04
27,Rørvik,33.8,80,75,19.46,64.86,11.24
28,Itarema,83.64,81,57,6.38,-2.92,-39.92
29,George Town,78.46,88,40,3.36,5.41,100.34
30,Srednekolymsk,-22.02,97,57,3.91,67.45,153.68
31,Marsh Harbour,73.38,69,0,8.7,26.54,-77.06
32,Novopskov,30.0,52,71,11.27,49.55,39.09
33,Port Alfred,63.0,98,90,16.08,-33.59,26.89
34,Vaini,77.0,94,90,6.93,-21.2,-175.2
35,Campina Grande,77.0,88,40,16.11,-7.23,-35.88
36,Paita,62.6,100,29,17.22,-5.09,-81.11
37,Chui,73.2,56,100,10.65,-33.7,-53.46
38,Itoman,60.31,55,20,14.99,26.12,127.67
39,Benguela,82.4,78,40,5.82,-12.58,13.41
40,Ushuaia,62.6,55,40,3.69,-54.8,-68.3
41,Upernavik,-18.6,74,0,3.8,72.79,-56.15
42,Aklavik,7.16,60,40,9.17,68.22,-135.01
43,Uglovskoye,36.3,77,100,17.92,51.36,80.19
44,Tautira,84.11,66,20,5.82,-17.73,-149.15
45,Niterói,89.22,70,20,12.75,-22.88,-43.1
46,Umm Kaddadah,78.78,14,53,11.54,13.6,26.69
47,Hamilton,41.59,56,40,10.29,39.18,-84.53
48,Vanimo,81.3,76,100,11.1,-2.67,141.3
49,Sakakah,64.4,42,0,3.36,29.97,40.21
50,Notre-Dame-du-Lac,20.64,57,90,18.34,47.61,-68.8
51,Saint-Augustin,26.22,63,100,14.03,51.23,-58.65
52,Dakar,80.67,48,1,17.22,14.69,-17.44
53,Ciudad Ojeda,81.84,67,29,5.91,10.2,-71.31
54,San Jose,50.59,71,75,5.82,37.34,-121.89
55,Malbork,40.33,44,50,16.11,54.04,19.03
56,Bredasdorp,64.69,59,100,12.75,-34.53,20.04
57,Vestmanna,32.0,78,87,3.36,62.16,-7.17
58,Kenai,-0.24,76,1,4.72,60.55,-151.26
59,Hailar,2.64,73,41,8.57,49.2,119.7
60,Scarborough,46.29,66,83,11.41,54.28,-0.4
61,Ixtapa,80.6,61,40,8.05,20.7,-105.2
62,Puerto Wilches,89.6,59,40,3.36,7.35,-73.9
63,Ahipara,63.48,76,99,7.58,-35.17,173.17
64,Kapaa,70.32,78,40,9.17,22.08,-159.32
65,Puerto Carreño,91.4,43,40,10.29,6.19,-67.49
66,Paamiut,8.22,62,9,15.17,61.99,-49.67
67,Inuvik,6.48,71,75,5.82,68.35,-133.72
68,Barrow,-7.6,69,1,13.87,71.29,-156.79
69,Nikolskoye,32.58,59,30,8.95,59.7,30.79
70,Lavrentiya,28.56,98,100,7.92,65.58,-171.0
71,Pangnirtung,-22.0,67,75,2.77,66.15,-65.71
72,Solnechnyy,4.98,86,77,2.46,50.72,136.63
73,Wajima,43.86,70,83,20.2,37.4,136.9
74,Saint Paul Harbor,17.6,78,1,6.93,57.79,-152.41
75,Merauke,75.36,87,1,3.11,-8.47,140.33
76,Padang,69.6,92,72,5.35,-0.95,100.35
77,Labuhan,76.08,91,52,2.73,-6.88,112.21
78,Davila,74.1,84,5,29.17,18.47,120.58
79,Alexandria,66.99,72,29,4.7,31.22,29.96
80,Isangel,82.38,83,100,29.3,-19.55,169.27
81,Port Keats,80.22,58,36,7.07,-14.25,129.55
82,Narsaq,28.4,50,100,9.17,60.92,-46.05
83,Udachny,23.0,73,100,8.95,66.42,112.4
84,Pevek,8.76,94,96,13.13,69.7,170.31
85,Jalu,73.2,17,0,8.23,29.03,21.55
86,Arman',-0.6,96,95,7.45,59.7,150.17
87,San Patricio,86.0,79,20,11.41,19.22,-104.7
88,Marawi,72.0,81,16,7.0,8.0,124.29
89,Kars,41.68,65,40,12.75,40.6,43.09
90,Ratnagiri,71.04,57,0,1.32,16.98,73.3
91,Coyhaique,65.44,52,40,6.93,-45.58,-72.07
92,Monte Alegre de Sergipe,92.46,39,73,14.94,-10.03,-37.56
93,Lorengau,83.28,75,100,12.33,-2.02,147.27
94,Faanui,82.56,77,4,13.94,-16.48,-151.75
95,Castro,84.9,42,3,4.85,-24.79,-50.01
96,Makkah al Mukarramah,69.06,56,0,7.56,21.43,39.83
97,Bluff,54.0,91,76,11.01,-46.6,168.33
98,Mount Gambier,44.6,93,0,3.36,-37.83,140.77
99,Beaverlodge,-9.4,63,40,1.72,55.22,-119.44
