,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Dunedin,47.95,73,69,1.01,-45.87,170.5
1,Quatre Cocos,77.4,83,90,6.33,-20.21,57.76
2,Rikitea,79.79,81,100,11.41,-23.12,-134.97
3,Albany,33.39,33,20,5.82,42.6,-73.97
4,Sitka,32.67,80,90,5.82,57.05,-135.33
5,Novosergiyevka,29.75,78,39,11.07,52.09,53.65
6,Manakara,76.55,85,0,4.07,-22.13,48.02
7,Bichura,28.31,78,76,7.25,50.59,107.6
8,Nacogdoches,55.78,100,90,8.05,31.6,-94.63
9,Tiksi,6.17,90,100,6.67,71.69,128.87
10,Warah,77.81,21,0,7.99,27.45,67.8
11,Arraial do Cabo,90.48,62,0,13.87,-22.97,-42.03
12,Provideniya,17.87,93,100,3.38,64.38,-173.3
13,Mazamet,53.98,76,100,20.8,43.49,2.37
14,Naze,57.2,62,75,6.93,28.37,129.48
15,Airai,66.29,93,100,2.13,-8.93,125.41
16,Ucluelet,27.99,92,5,3.6,48.93,-125.55
17,Busselton,61.5,86,86,7.78,-33.65,115.33
18,Nikolskoye,34.66,96,90,11.18,59.7,30.79
19,Hamilton,43.59,73,90,2.64,39.18,-84.53
20,Matara,77.45,90,89,3.87,5.95,80.54
21,Mataura,44.01,89,49,1.01,-46.19,168.86
22,Henties Bay,63.0,87,42,5.01,-22.12,14.28
23,Longyearbyen,-11.2,69,20,9.17,78.22,15.64
24,Kaduy,33.8,64,75,6.71,59.2,37.15
25,Nur,45.95,52,100,11.92,52.67,22.32
26,Castro,82.31,50,0,6.04,-24.79,-50.01
27,Norman Wells,3.2,71,90,9.17,65.28,-126.83
28,Korla,37.67,31,0,8.01,41.76,86.15
29,Ushuaia,50.79,71,40,16.11,-54.8,-68.3
30,Ribeira Grande,66.2,72,40,14.99,38.52,-28.7
31,Saint-Philippe,76.5,83,75,14.99,-21.36,55.77
32,Hilo,65.07,78,20,5.82,19.73,-155.09
